mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroid,chroma_stft,spectral_rolloff,zero_crossing_rate,rms,genre
-113.619385,121.55302,-19.151058,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973776,-8.32241,8.8067875,-3.6658018,5.745939,-5.161711,0.75029784,-1.688358,-0.40932855,-2.2988691,1.2199471,1784.416545970319,0.34995052,3806.4186497738488,0.08306639113293343,0.130192,blues
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,4.2171254,-6.0110474,0.9326681,-0.7170279,0.2923333,-0.28571686,0.53214437,1529.8713140945188,0.3409451,3548.9868730952494,0.056044256724071206,0.095891684,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741682,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857633,-8.899733,-1.0870239,-9.216775,2.4536483,-7.721793,-1.8164973,-3.4343538,-2.2313912,1552.6377863181906,0.36356184,3041.0899442784926,0.07630074799245357,0.17549369,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.23688,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.0853534,-2.4761884,-1.0762246,-2.8760562,0.7769088,-3.3200555,0.63726294,-0.6175068,-3.40694,1070.1100585189854,0.40484837,2185.0617872303114,0.03330894446594427,0.14113921,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.4080763,-11.701833,1835.5070084014953,0.30859816,3581.003346162684,0.1015001421004257,0.0915404,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,1831.9900685948742,0.30241403,3480.8539517523704,0.09403986975135449,0.10343772,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.59637237,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947577,-6.540925,-10.071382,-10.912118,-6.970003,-3.4485128,-6.498458,1459.0353761872718,0.29140562,2795.67476160386,0.07302790308146284,0.1416879,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690976,-8.414114,-6.956976,-3.548349,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790193,-4.7007947,-8.638816,1451.8494584581754,0.30731454,2955.7654602239745,0.06143500266060371,0.13174523,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739911,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991906,1719.2739373344168,0.40899816,3781.5188003398316,0.06402757957623839,0.14236063,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180814,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368747,-5.114481,-0.4145369,-1.1848986,-1.9183391,-2.2957964,2.89123,-4.2345333,1817.5295464146707,0.27401423,3944.584480970637,0.0792153184258901,0.08132098,blues
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.884673,-1.1866812,-1.9771539,1.8001548,-3.0044112,-1.8699358,-0.7962682,-3.0132642,-0.43592528,-2.00181,-0.74663854,-5.001238,1410.6753570562125,0.30396512,2767.5082652561437,0.06298072271671827,0.14286481,blues
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.653276,0.7827978,6.5667357,-4.87944,-3.1806588,-5.5570035,-6.786621,-2.644233,-2.9824317,-3.3811386,-1.8614974,1.8359205,-4.8965116,1353.3291189300635,0.3658071,2882.31590436339,0.04395891785990712,0.065684564,blues
-207.20874,132.79709,-15.460706,60.99486,0.71024096,12.461279,1.1609278,-1.5278944,-17.901817,8.369234,-2.4538188,-0.5966888,0.36881632,2.6052277,-5.193015,-9.530149,-9.2374,-2.8406756,-1.4114444,-5.9310284,1361.1004062354928,0.2693326,2739.791766187355,0.06912392064144737,0.11902389,blues
-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.2020378,-3.051727,8.64402,-0.31084582,-0.6361448,-2.9359381,-1.7065972,-1.7654226,-7.755964,1324.3317542217217,0.2647263,2710.3669441152283,0.051417300575657895,0.11318897,blues
-305.69858,113.04164,12.1149,45.039444,17.739239,14.59463,4.1571283,0.24009813,-7.013088,13.649845,8.923058,1.30169,5.952128,8.542283,1.1171257,0.5882188,0.060077585,-3.706519,-1.001884,-1.8044137,1172.2763008557504,0.32904086,2345.777482071159,0.045045834945820436,0.06693625,blues
-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037088,-16.92988,12.33931,3.9409604,-1.3906771,0.014792014,3.5804958,-4.5049934,-5.541951,-6.8830776,-4.82639,1.7385828,-1.8840168,1420.4114787701458,0.27034655,2930.240614569224,0.0637176797116873,0.080638945,blues
-233.79489,120.66705,-3.1675608,39.53927,3.8588552,18.839672,-3.6889172,4.431845,-14.975374,17.571033,1.8447447,2.538607,-1.2386857,8.4393635,-0.20983846,-3.9067852,-4.478641,-0.012232258,1.293265,-2.0874293,1455.0424713768248,0.30829644,3009.9651324859715,0.061350725014512386,0.08141902,blues
-245.7541,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.5361875,-16.36736,6.6298547,7.269149,-4.015731,1.6074536,5.898682,-3.0176077,-4.7748995,-3.02707,-1.9985329,-0.05875901,-3.9718897,1088.7781161784512,0.30223948,2134.7537581027477,0.04832397083010836,0.09325911,blues
-252.51877,104.93698,15.316828,42.673477,6.7626176,21.623579,-1.3132769,5.691933,-16.619516,12.161627,-1.96795,1.969765,-0.88895845,7.771046,2.386952,1.7799876,1.3449864,3.6371133,4.9108076,-2.6554039,1537.56091926741,0.2700793,3495.4621967516446,0.056131935710139316,0.07964064,blues
-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.35396162,0.78834546,1.7829303,4.2302113,-0.47101688,-6.1056542,-5.387077,-1.3430606,-3.7227933,-4.362499,1195.4133983085592,0.25735947,2235.2114839819565,0.05887114817143963,0.09763429,blues
-230.42657,127.100525,7.1453543,39.78432,1.9449425,17.40534,-5.639429,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,6.8123913,-6.159839,-6.2154546,-4.5115924,-1.8506043,-0.53948647,1.504397,1389.9522837601053,0.30279943,3005.7401580338137,0.05256015080785604,0.07535405,blues
-264.67847,138.85834,11.156023,48.538254,14.895924,20.584368,3.2051423,1.262588,-15.847021,15.986576,3.3616717,-1.513741,1.892155,6.3119216,-0.9948621,-2.4167244,-3.6847513,0.4993973,5.050747,-0.78670317,1046.7275070203577,0.3211421,1831.1222607875386,0.04793735185274768,0.101118095,blues
-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.3548675,0.39087018,-13.504575,16.856106,5.130938,-2.23188,3.9640331,5.318362,0.8122657,-1.0979142,-4.539752,-2.434786,3.3134494,-0.61427945,1156.202363121508,0.306442,2170.511875211639,0.05861340218653251,0.1134315,blues
-227.26886,137.7307,-14.493466,63.555702,5.612641,11.98464,1.8855519,-1.8633765,-7.6205554,-2.4471745,-2.8867247,-9.429529,-10.923912,3.562558,4.137706,0.095543794,-2.972545,-1.378875,7.541176,-3.037463,1210.4571260262846,0.28072092,2522.5430798604393,0.052482675841718264,0.101914905,blues
-274.31186,130.41371,-6.3928003,70.405014,13.269141,9.461283,7.7256403,-1.247491,-0.57758844,-2.3025885,3.783147,0.084823325,-0.939436,2.2965147,4.2883782,-1.6618618,-10.444595,-6.7975335,-1.0660518,-1.5959947,1120.3909802285903,0.26310804,2325.127606938129,0.047297899937113,0.08696161,blues
-249.2894,130.98703,0.6773898,66.68578,17.897806,4.623737,6.5983076,1.24905,1.4163893,-1.5791419,-0.9626631,-3.5719957,-2.9279811,4.596818,7.478901,-0.18313698,-2.825327,-2.6788447,0.74854696,-0.5342603,1109.721378629315,0.2909807,2243.744765715702,0.05172493288022446,0.089179605,blues
-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.0057861516,2.250966,4.2050996,-3.2933176,1.6082981,2.6657817,3.3244853,3.2600794,-4.558311,0.47801912,5.9297876,3.2283401,1198.7544985722175,0.27866605,2478.8266775408765,0.051987591911764705,0.076938555,blues
-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024475,0.9099383,1.9782512,-6.1670074,-9.396024,-2.5628405,-4.5228944,-0.26295036,0.17933396,-1.5074475,1.4652514,-6.9718475,-8.32218,4.2389526,0.98148614,1391.4439037459135,0.28870454,2811.1413347462753,0.07235897288602941,0.09572528,blues
-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.33127907,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.90216666,-2.4017205,2.567503,-5.855444,-12.398048,-7.310066,-0.94395065,-2.6873753,1115.5411952519341,0.27601087,2290.3194840847523,0.04802843217879257,0.09958247,blues
-233.75082,101.178276,17.649765,23.733782,2.0820308,25.941927,-16.958853,15.098037,-22.278717,4.3951244,-23.207405,-6.057174,-5.068858,1.0673934,-5.7853684,-8.311131,-11.389136,-6.7279487,-10.025587,-14.032895,1649.2877536970093,0.280554,3761.610587388738,0.05292636174535604,0.124669306,blues
-206.96808,117.792984,23.23588,28.297827,-1.1239153,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607277,-8.139437,-8.648127,-15.528326,-15.317339,-9.66383,-10.0986805,-17.833733,1378.9657764881297,0.2631294,3015.0567683642125,0.03937580120452786,0.17003015,blues
-221.83113,110.83949,18.616821,30.920137,3.295923,22.587362,-20.416351,12.118737,-26.350498,-4.3674846,-26.413198,-13.045098,-12.654766,-1.8243434,-7.258695,-6.661085,-14.686605,-11.720062,-11.023767,-13.388403,1331.0365912698594,0.2536384,2900.174129710478,0.04296723829334365,0.1515323,blues
-288.8077,105.89604,18.777039,23.710392,5.711881,25.549088,-13.47376,12.428972,-11.942034,1.5714257,-15.63591,-6.6506157,-11.713253,-2.9383886,-7.3725805,-15.697483,-10.9741535,-10.8895445,-18.505476,-19.103352,1309.6646971460593,0.27626824,2765.658276442773,0.03939318583107585,0.101156905,blues
